line	category	before	after	note
15-16	bad-split	「アルゴリズムによる最適化」\nと聞くと、	「アルゴリズムによる最適化」と聞くと、	閉じ括弧直後で分割、「と」が次行に孤立。括弧+助詞は一体で扱うべき
18-19	bad-split	「人間の身体的限界」という\n変数が最初から欠落していたら	「人間の身体的限界」という変数が\n最初から欠落していたら	「という」マーカー直後で分割したが、「という変数」は一体の名詞句
31-32	bad-split	「常に見られているかもしれない」\nというプレッシャーで自らを	「常に見られているかもしれない」というプレッシャーで\n自らを規律し続けるシステムですね	閉じ括弧直後で分割、「という」が次行に落ちる。括弧+という は一体
37-38	bad-split	秒単位で生産性を\n追跡されていると答えています	秒単位で生産性を追跡されていると\n答えています	「を」格助詞で分割、述語が分離して不自然
41-42	bad-split	例えば、\n一定時間アイテムをスキャンしないと、	例えば、一定時間アイテムを\nスキャンしないと、	左側が「例えば、」のみで極端に短い(4文字)
45-46	bad-split	見せつけられなが\nら働き続けるわけです	見せつけられながら\n働き続けるわけです	単語途中(ながら)で分割。文字数制限による強制切断
52-53	bad-split	「現実空間の摩擦」\nを一切計算に入れていないんです	「現実空間の摩擦」を一切計算に\n入れていないんです	閉じ括弧直後で分割、「を」が次行に孤立
57-58	good	私たちは人間ではなく、\n完全に交換可能な機械の歯車なんです	(same)	読点後の自然な分割。左右のバランスも良い
70-71	good	データによると、\nインセンティブが発生しているタスクでは、	(same)	読点後の自然な分割
73-74	bad-split	「猛暑」\nという環境変数が加わるわけですよね	「猛暑」という環境変数が\n加わるわけですよね	閉じ括弧直後で分割、左側が極端に短い(4文字)
79-80	good	利便性の消費が、\nプラットフォームの計算式を経由して、	(same)	読点後の自然な分割
85-86	bad-split	「配送サービスパートナー（DSP）\n」プログラムに19億ドルを投資し、	「配送サービスパートナー（DSP）」プログラムに\n19億ドルを投資し、	閉じ括弧が次行に漏出。括弧ペアが分割される
96-97	bad-split	それに対し、\n労働組合側は2025年10月の声明で、	それに対し、労働組合側は\n2025年10月の声明で、	左側「それに対し、」のみで極端に短い(7文字)
112-113	good	この答えを出すのは、\nシステムを設計する企業だけでなく、	(same)	読点後の自然な分割、左右バランス良好
